userid_x,userid_y,N_previous,n_prev_match,CE_alter,Pi_alter,meetup,Rank,CCE_alters,Pi_alters,CCE_ego_alter,Pi_ego_alter,CCE_ego_alters,Pi_ego_alters,LZ_entropy,Pi,ODLR,CODLR,category,a_Pi
ben-kessler,jesse-middleton,1179,161,8.81823921,0.054323052999999996,5,1,8.81823921,0.054323052999999996,6.00646925,0.442850516,6.00646925,0.442850516,6.127581231000001,0.428817412,0.142023346,0.142023346,social network,0.42993405781466076
ben-parr,nathaniel-mcnamara,480,140,7.68392179,0.215829487,44,1,7.68392179,0.215829487,6.431441096,0.380849025,6.431441096,0.380849025,6.742532418,0.34204856,0.167755991,0.167755991,social network,0.4208982880792659
ben-roodman,meghan-murphy,926,343,8.84070101,0.160973259,31,1,8.84070101,0.160973259,5.635328153,0.525751097,5.635328153,0.525751097,5.747973695,0.51436574,0.13651877099999998,0.13651877099999998,social network,0.4463651252653375
beth-b,liz-bastian,374,231,7.924469296,0.24341667399999997,46,1,7.924469296,0.24341667399999997,5.146356453,0.558581635,5.146356453,0.558581635,5.210898021,0.5519524610000001,0.08479532199999999,0.08479532199999999,social network,0.5180179738505661
bill-lublin,kelley-koehler,643,58,8.654032601,0.02527267,16,1,8.654032601,0.02527267,5.79041796,0.44875201,5.79041796,0.44875201,5.934058658,0.431563672,0.093301435,0.093301435,social network,0.45423831029732753
blake-whitman,andrew-pile,554,152,7.516246637999999,0.183907045,53,1,7.516246637999999,0.183907045,5.480318219,0.464035275,5.480318219,0.464035275,5.7604792410000005,0.429263522,0.27190332300000003,0.27190332300000003,social network,0.3674073926060792
boris-anthony,matt-biddulph,558,202,7.083066489,0.235348836,12,1,7.083066489,0.235348836,5.283757841,0.479577417,5.283757841,0.479577417,5.503939132,0.452179262,0.21192053,0.21192053,social network,0.45717666364023746
brad-feld,matt-galligan,1104,210,7.734038846,0.160452659,6,1,7.734038846,0.160452659,5.961019557,0.41051993,5.961019557,0.41051993,5.964639926,0.410063503,0.15625,0.15625,social network,0.4349859817879869
brady-forrest,tom-coates,221,19,7.637220127000001,0.224221167,2,1,7.637220127000001,0.224221167,6.124252742,0.419168308,6.124252742,0.419168308,6.169793461,0.413726149,0.021551723999999998,0.021551723999999998,social network,0.2960467744156843
brandon-chesnutt,henry-balanon,535,168,7.545931154,0.187503769,71,1,7.545931154,0.187503769,5.009725414,0.524175899,5.009725414,0.524175899,5.267727829,0.493759061,0.36127167600000004,0.36127167600000004,social network,0.33604387783996853
brian-kalma,kevan-davis,227,273,6.9729137539999995,0.348337864,5,1,6.9729137539999995,0.348337864,4.717465003,0.59605133,4.717465003,0.59605133,4.80509617,0.587112725,0.035598706,0.035598706,social network,0.4912596706847365
brian-moore3,david-altobelli,595,242,7.833090463,0.238012038,74,1,7.833090463,0.238012038,5.917478825,0.467521287,5.917478825,0.467521287,6.198586819,0.43615428,0.148514851,0.148514851,social network,0.4565234199630644
brian-papa,damien-basile,2292,346,8.495134837,0.090890261,27,1,8.495134837,0.090890261,5.87209651,0.44933203,5.87209651,0.44933203,5.830738836,0.45415130200000003,0.276824034,0.276824034,social network,0.41220806577446006
brian-stelter,caroline-mccarthy,2436,314,8.8228633,0.109903461,40,1,8.8228633,0.109903461,6.79377081,0.375580353,6.79377081,0.375580353,6.97237713,0.354697594,0.270642202,0.270642202,social network,0.4168199625125986
bryce-roberts,scott-switzer,326,17,8.235366829,0.111394442,3,1,8.235366829,0.111394442,5.042581992,0.534953382,5.042581992,0.534953382,5.0593596839999995,0.533067615,0.019184652,0.019184652,social network,0.29303912743868266
brynn-evans,chris-messina7,1208,690,6.331048947999999,0.425705413,399,1,6.331048947999999,0.425705413,5.900945664,0.47339786799999994,5.900945664,0.47339786799999994,6.920327384,0.35777519700000004,0.602201258,0.602201258,social network,0.3696823698006043
carla-blumenthal,alexis-dorenter,830,224,7.234245615,0.231866827,49,1,7.234245615,0.231866827,5.509802902000001,0.462696515,5.509802902000001,0.462696515,5.746416981,0.433485454,0.241887906,0.241887906,social network,0.4271163624389962
caroline-mccarthy,maya-baratz,1543,250,9.606081116,0.093934793,149,1,9.606081116,0.093934793,6.678063441,0.437008258,6.678063441,0.437008258,6.873507204,0.41681996299999996,0.18223028100000002,0.18223028100000002,social network,0.48929364216528437
carolyn-weiss,dawn-winchester,860,98,9.02610449,0.025740815,5,1,9.02610449,0.025740815,6.031067716,0.44542510399999996,6.031067716,0.44542510399999996,6.124143953,0.434775788,0.047706422000000005,0.047706422000000005,social network,0.6215998284088085
cassel-kroll,erin27,998,504,8.371863183,0.193514047,39,1,8.371863183,0.193514047,4.4263033510000005,0.6338951110000001,4.4263033510000005,0.6338951110000001,4.49758994,0.6269554270000001,0.049586777,0.049586777,social network,0.5663836286672195
celsius,nya-buro-kisaragi,821,825,4.59396345,0.35566595700000003,8,1,4.59396345,0.35566595700000003,2.036695161,0.776178487,2.036695161,0.776178487,2.035543236,0.7763327529999999,0.480769231,0.480769231,social network,0.7771205477414045
chad-elkins,dutch-driver,320,286,7.652240015,0.251558801,8,1,7.652240015,0.251558801,4.492726011,0.6136249229999999,4.492726011,0.6136249229999999,4.535337652,0.609272855,0.04964539,0.04964539,social network,0.5062206335137195
chet-gulland,hashem-bajwa,950,201,8.140022888999999,0.117065548,50,1,8.140022888999999,0.117065548,5.713847885,0.45300322299999995,5.713847885,0.45300322299999995,5.9115063139999995,0.42915355200000005,0.26196473600000003,0.26196473600000003,social network,0.39200753007868283
chris-abraham,andrew-hunt,169,6,7.347953004,0.257835296,1,1,7.347953004,0.257835296,6.181787371,0.407760028,6.181787371,0.407760028,6.212075209,0.404085084,0.02027027,0.02027027,social network,0.36111122072392693
chris-ayres,erica-boynton,337,152,6.910826054,0.271768635,20,1,6.910826054,0.271768635,5.2456385580000005,0.490343295,5.2456385580000005,0.490343295,5.4585280979999995,0.464381669,0.13622291,0.13622291,social network,0.38238182235806045
chris-breikss,jenn-lowther,734,142,6.980352056,0.159963606,15,1,6.980352056,0.159963606,5.586384592999999,0.388075468,5.586384592999999,0.388075468,5.53618831,0.395329728,0.338624339,0.338624339,social network,0.4319708130933007
chris-mccann8,amy-cagle,569,194,7.996994803,0.197159255,49,1,7.996994803,0.197159255,6.295989982,0.4136343,6.295989982,0.4136343,6.45705346,0.39470517899999996,0.128252788,0.128252788,social network,0.5758528613857302
chris-messina7,brynn-evans,1117,522,7.071132372,0.343011325,399,1,7.071132372,0.343011325,6.369407516,0.42400029899999997,6.369407516,0.42400029899999997,6.844489721,0.36968237,0.585626911,0.585626911,social network,0.3577751970249808
chris-oleary,brian-van-nieuwenhoven,915,729,7.836614885,0.309404812,20,1,7.836614885,0.309404812,5.989449125,0.503794081,5.989449125,0.503794081,6.242539087999999,0.478495622,0.123943662,0.123943662,social network,0.3945211658471588
christian-hughes,jules-keeley,1810,1641,7.3177228560000005,0.35166298700000004,456,1,7.3177228560000005,0.35166298700000004,5.442583889,0.548020771,5.442583889,0.548020771,5.6799346989999995,0.52441158,0.267391304,0.267391304,social network,0.5937727655155239
christine-ngo,brendan-gahan,510,151,7.42060214,0.22865070199999998,19,1,7.42060214,0.22865070199999998,6.0309121,0.413489768,6.0309121,0.413489768,6.241186127000001,0.387310262,0.111959288,0.111959288,social network,0.5981419294591767
chuck-masucci,andrew-hess,271,97,7.004204024,0.261513537,44,1,7.004204024,0.261513537,5.960816014,0.403505723,5.960816014,0.403505723,6.273789776,0.36272365700000003,0.2,0.2,social network,0.33230130307589123
chuck-reynolds,jay-thompson,897,198,9.055618979,0.076147491,8,1,9.055618979,0.076147491,5.000729831,0.5719551589999999,5.000729831,0.5719551589999999,5.062262977,0.565664178,0.073353293,0.073353293,social network,0.4681343368196278
colin-mccabe,mike-lee3,449,116,7.518502975,0.22599302,7,1,7.518502975,0.22599302,6.331185274,0.38396535200000004,6.331185274,0.38396535200000004,6.671032589,0.340959907,0.11137440800000001,0.11137440800000001,social network,0.27253462815434826
coma2619,kadoppe,299,234,6.606845042000001,0.157829465,1,1,6.606845042000001,0.157829465,3.371447822,0.655859296,3.371447822,0.655859296,3.469658603,0.643566583,0.094202899,0.094202899,social network,0.535171917436667
conner-mccall,eric-petersen,1918,302,8.558293604,0.031797147000000005,14,1,8.558293604,0.031797147000000005,6.040586755,0.413356326,6.040586755,0.413356326,5.969627322999999,0.422062892,0.40302267,0.40302267,social network,0.48024938947995127
cooper-smith7,marques-gartrell,492,143,8.202155941000001,0.133817924,62,1,8.202155941000001,0.133817924,4.72120862,0.5759031729999999,4.72120862,0.5759031729999999,4.8049541389999995,0.5668284720000001,0.146341463,0.146341463,social network,0.44239482647576617
damian-damjanovski,grant1,533,714,6.7783279620000005,0.338822403,17,1,6.7783279620000005,0.338822403,3.7915442010000002,0.674598723,3.7915442010000002,0.674598723,3.942725528,0.659260755,0.11206896599999999,0.11206896599999999,social network,0.5224142368690212
damien-basile,stuart-tracte,1296,308,9.116936592,0.166083547,57,1,9.116936592,0.166083547,6.7539653379999995,0.43206023200000004,6.7539653379999995,0.43206023200000004,6.946565551,0.41220806600000004,0.15687993,0.15687993,social network,0.5006527398517069
dan-dofter,ryan-king,1018,427,7.5325133,0.217222967,26,1,7.5325133,0.217222967,5.302524096,0.5030669729999999,5.302524096,0.5030669729999999,5.536351614,0.47586954,0.296296296,0.296296296,social network,0.42515811174930834
daniel-newman,micah-baldwin,1443,233,8.914182442000001,0.078161947,39,1,8.914182442000001,0.078161947,6.162008942999999,0.44027229799999995,6.162008942999999,0.44027229799999995,6.358108791,0.41806190299999996,0.186468647,0.186468647,social network,0.4545639272941025
daniele-fiandaca,maria-eriksson,269,20,7.970569082999999,0.234295502,2,1,7.970569082999999,0.234295502,5.663849896,0.5029814029999999,5.663849896,0.5029814029999999,5.700719855,0.499054714,0.016442451,0.016442451,social network,0.38711013734739314
danielle-morrill,mark-condon,380,135,7.115911205,0.24751739,23,1,7.115911205,0.24751739,5.568205282999999,0.454392077,5.568205282999999,0.454392077,5.77805687,0.42830277899999997,0.10746268699999999,0.10746268699999999,social network,0.5837425872551799
danny-nathan,thais-lima,668,634,6.4872736589999995,0.33835414700000005,65,1,6.4872736589999995,0.33835414700000005,3.963666185,0.640692274,3.963666185,0.640692274,4.120193628,0.623661376,0.269794721,0.269794721,social network,0.4150612336271815
darragh-doyle,stephanie-francis,1291,671,6.466782451,0.341478358,201,1,6.466782451,0.341478358,4.988399577,0.525732415,4.988399577,0.525732415,5.115481802,0.510815149,0.456140351,0.456140351,social network,0.5592271751328345
darrell-whitelaw,daniel-lammon,240,149,7.232070093,0.32964859,28,1,7.232070093,0.32964859,6.267879842,0.43991635100000004,6.267879842,0.43991635100000004,6.3938283689999995,0.42597603799999995,0.056686047,0.056686047,social network,0.47412858323708573
dave-edwards,dawn-winchester,851,416,6.607024588,0.279423059,18,1,6.607024588,0.279423059,2.924223648,0.737690805,2.924223648,0.737690805,2.9559269980000002,0.7343403079999999,0.047244094,0.047244094,social network,0.6215998284088085
dave-kerpen,jenna8,947,198,9.242189418999999,0.096288266,18,1,9.242189418999999,0.096288266,5.341067197,0.552615421,5.341067197,0.552615421,5.394697742999999,0.547257852,0.040236686,0.040236686,social network,0.5500902602528432
dave-morin,dan-dofter,1298,162,8.754281443,0.037317559,5,1,8.754281443,0.037317559,6.251781251000001,0.40387492799999997,6.251781251000001,0.40387492799999997,6.25807276,0.40311608200000004,0.08620689699999999,0.08620689699999999,social network,0.4758695397804501
dave-taylor,jim-halligan,1146,405,8.840693035,0.134757727,4,1,8.840693035,0.134757727,5.875819938999999,0.489861696,5.875819938999999,0.489861696,6.0230459220000006,0.47429035399999997,0.129801325,0.129801325,social network,0.4053357749990312
david-berkowitz,matt-wurst,1738,386,8.924893793999999,0.15690449,19,1,8.924893793999999,0.15690449,6.56158165,0.433638739,6.56158165,0.433638739,6.68217462,0.420836159,0.096844396,0.096844396,social network,0.5646771822781651
david-lifson,alexis4,355,64,7.299744218,0.167991296,10,1,7.299744218,0.167991296,6.058390395,0.35958797299999995,6.058390395,0.35958797299999995,6.260349311000001,0.331003664,0.125490196,0.125490196,social network,0.4343516533211246
david-rosen,john-burke,1473,1075,8.302790103,0.22436208100000002,31,1,8.302790103,0.22436208100000002,4.804429521,0.605062732,4.804429521,0.605062732,4.915828221,0.5942443310000001,0.097502973,0.097502973,social network,0.6377354043375341
david-trahan,manisha-m,986,112,8.060689673999999,0.058290627000000005,43,1,8.060689673999999,0.058290627000000005,6.036429034,0.38232678600000003,6.036429034,0.38232678600000003,5.9901115229999995,0.388464935,0.147157191,0.147157191,social network,0.5252536166722209
david-weekly,jim-goodman,205,1,7.665044987000001,0.150518409,0,1,7.665044987000001,0.150518409,6.207639181,0.36660016100000004,6.207639181,0.36660016100000004,6.210482732999999,0.36622171200000003,0.0031545740000000003,0.0031545740000000003,social network,0.44545193796820015
dawn-winchester,brandt-flomer,1057,322,7.309097554,0.10584157300000001,28,1,7.309097554,0.10584157300000001,3.8482828860000002,0.621069044,3.8482828860000002,0.621069044,3.8438541269999997,0.621599828,0.085427136,0.085427136,social network,0.5969140826208272
dennis-yang,andrew-yang,384,315,7.379854128,0.36138834799999997,88,1,7.379854128,0.36138834799999997,7.056726499,0.395898529,7.056726499,0.395898529,7.436385233999999,0.355268664,0.12846580400000002,0.12846580400000002,social network,0.3518420145931716
dens,nick-bilton,1095,358,8.156498286,0.22762949300000002,51,1,8.156498286,0.22762949300000002,6.335639904,0.440723271,6.335639904,0.440723271,6.561792398,0.41598556799999997,0.170860927,0.170860927,social network,0.39939787172141483
derek-overbey,jeff-turner,579,116,8.173098155,0.083123296,18,1,8.173098155,0.083123296,4.5254792319999995,0.581192794,4.5254792319999995,0.581192794,4.611574414,0.5715275089999999,0.115819209,0.115819209,social network,0.43951818491563954
derric-podschun,sarah-m,652,165,7.67569112,0.175909089,19,1,7.67569112,0.175909089,5.878536545,0.42407990700000003,5.878536545,0.42407990700000003,6.156514595,0.38913281200000005,0.198347107,0.198347107,social network,0.4009751412315001
detavio-samuels,sumaya,217,7,7.738342835,0.27290007899999996,0,1,7.738342835,0.27290007899999996,4.987766884,0.577504011,4.987766884,0.577504011,4.992193914,0.5770581579999999,0.004195804,0.004195804,social network,0.381315537986432
devin-brown,damien-basile,2292,409,8.690589459,0.14545416,46,1,8.690589459,0.14545416,6.457107543999999,0.42185788799999996,6.457107543999999,0.42185788799999996,6.6686124520000005,0.398211935,0.30704225399999996,0.30704225399999996,social network,0.41220806577446006
doug-akin,matt-britton,386,90,7.243642417,0.223310192,29,1,7.243642417,0.223310192,6.298152794,0.35760531100000004,6.298152794,0.35760531100000004,6.629649167,0.31250499,0.153846154,0.153846154,social network,0.2931381323994166
doug-jaeger,jacob-cohen,285,63,7.629900312,0.24070028699999999,10,1,7.629900312,0.24070028699999999,6.533859647000001,0.38050418799999997,6.533859647000001,0.38050418799999997,6.695144686,0.360922388,0.099415205,0.099415205,social network,0.38669245553615933
downtownrob-marlbrough,sarah-m,652,106,8.501749364,0.097102983,15,1,8.501749364,0.097102983,6.128960016000001,0.42218881,6.128960016000001,0.42218881,6.274968042,0.40481227399999997,0.18087318100000002,0.18087318100000002,social network,0.4009751412315001
dustin-curtis,daniel-rhodes,246,121,6.191918517,0.340772235,53,1,6.191918517,0.340772235,5.689896605,0.40999033,5.689896605,0.40999033,6.157955997,0.345588149,0.26666666699999997,0.26666666699999997,social network,0.4356583977903052
ed-kohler,aaron-landry,1890,734,7.9120822539999995,0.287523417,111,1,7.9120822539999995,0.287523417,6.660222892999999,0.42609832700000005,6.660222892999999,0.42609832700000005,6.992850666,0.39054183200000003,0.22736842100000001,0.22736842100000001,social network,0.42127530545222625
edney-souza,mjcoffeeholick,377,298,6.942209189,0.24947024899999998,34,1,6.942209189,0.24947024899999998,4.07352525,0.6187701529999999,4.07352525,0.6187701529999999,4.19052951,0.605516857,0.12110726599999999,0.12110726599999999,social network,0.4775378525293145
eflirt-expert,todd-hamilton,258,18,8.169387262,0.166212732,1,1,8.169387262,0.166212732,5.384894721,0.513786892,5.384894721,0.513786892,5.400107107,0.5121141610000001,0.013461538,0.013461538,social network,0.4952701530530736
elavrov,felix-leander,770,165,8.44441518,0.13191754,10,1,8.44441518,0.13191754,5.921588487,0.457365732,5.921588487,0.457365732,6.0407616289999995,0.443813159,0.081180812,0.081180812,social network,0.6436033678121337
elysa-rice,derek-shanahan,353,23,8.744046014,0.106457275,9,1,8.744046014,0.106457275,6.358280239,0.417883801,6.358280239,0.417883801,6.393051777999999,0.41390918600000004,0.026446281000000002,0.026446281000000002,social network,0.4791078379324704
emanuel-karlsten,kalle,508,127,8.304294426,0.135315031,7,1,8.304294426,0.135315031,5.226101984,0.5271761629999999,5.226101984,0.5271761629999999,5.31552196,0.517318364,0.111561866,0.111561866,social network,0.4561138644594189
emily-woolf,sandy-bell,1068,399,7.809311929,0.225364779,46,1,7.809311929,0.225364779,5.570885313,0.497009099,5.570885313,0.497009099,5.696854227999999,0.48305896,0.194495413,0.194495413,social network,0.5005407946878229
emilyspearl,damien-basile,2292,311,9.366476324,0.06715813400000001,43,1,9.366476324,0.06715813400000001,6.643273014,0.413567319,6.643273014,0.413567319,6.809563482000001,0.395296775,0.218518519,0.218518519,social network,0.41220806577446006
enrico-gatti,sriram-venkitachalam,348,117,7.776395325,0.282885377,18,1,7.776395325,0.282885377,6.8335517160000006,0.39167671299999995,6.8335517160000006,0.39167671299999995,7.027209761,0.370025585,0.08478803,0.08478803,social network,0.45791293515500575
eric-andersen,josh-bob,340,943,7.34463699,0.36627514299999997,7,1,7.34463699,0.36627514299999997,5.2026038539999995,0.5817380839999999,5.2026038539999995,0.5817380839999999,5.313170521,0.5712469020000001,0.044789762000000004,0.044789762000000004,social network,0.3428048390001485
eric-leist,dj-capobianco,722,153,8.264612807,0.115211564,12,1,8.264612807,0.115211564,5.399580127999999,0.497661135,5.399580127999999,0.497661135,5.6174600429999995,0.472537156,0.161290323,0.161290323,social network,0.4827047281018451
eric-petersen,m-k,736,337,8.342752398,0.19994582800000002,25,1,8.342752398,0.19994582800000002,5.782358456,0.49794129,5.782358456,0.49794129,5.949769411,0.48024938899999997,0.146341463,0.146341463,social network,0.37074027762436906
